C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4051.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4052.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4053.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4054.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4056.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4057.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4062.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4063.HEIC,Other|vehicles|bicycle^Other|vehicles|car^Other|vehicles|truck
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4066.HEIC,Other|vehicles|car^Other|vehicles|truck
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4068.HEIC,Other|vehicles|bicycle^People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4069.HEIC,Other|animals|horse
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4070.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4072.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4078.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4084.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4085.HEIC,Other|animals|giraffe
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4088.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4089.HEIC,Other|animals|giraffe
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4091.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4092.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4097.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4100.HEIC,Other|animals|giraffe
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4101.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4102.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4103.HEIC,Other|vehicles|car^Other|vehicles|truck
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4104.HEIC,Other|animals|giraffe
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4105.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4108.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4109.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4110.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4111.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4116.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4119.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4122.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4124.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4133.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4135.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4138.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4143.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4144.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4147.HEIC,People
