Company,Website URL,Size,Pixel Dimensions (300 DPI),Starting Price,Pages Included,Price per additional page,Description of Options,Pricing Page URL
Mixbook,https://www.mixbook.com,8x6",2400x1800,$29.99,20,$1.19,"Hardcover with glossy photo cover, Everyday Semi-Gloss paper (cheapest paper option), blank photo book",https://www.mixbook.com/photo-book-pricing
Mixbook,https://www.mixbook.com,8.5x8.5",2550x2550,$37.99,20,$1.79,"Hardcover with glossy photo cover, Everyday Semi-Gloss paper (cheapest paper option), blank photo book",https://www.mixbook.com/photo-book-pricing
Mixbook,https://www.mixbook.com,8.5x11",2550x3300,$49.99,20,$2.19,"Hardcover with glossy photo cover, Everyday Semi-Gloss paper (cheapest paper option), blank photo book",https://www.mixbook.com/photo-book-pricing
Mixbook,https://www.mixbook.com,10x10",3000x3000,$54.99,20,$2.59,"Hardcover with glossy photo cover, Everyday Semi-Gloss paper (cheapest paper option), blank photo book",https://www.mixbook.com/photo-book-pricing
Mixbook,https://www.mixbook.com,11x8.5",3300x2550,$49.99,20,$2.19,"Hardcover with glossy photo cover, Everyday Semi-Gloss paper (cheapest paper option), blank photo book",https://www.mixbook.com/photo-book-pricing
Mixbook,https://www.mixbook.com,12x12",3600x3600,$79.99,20,$3.09,"Hardcover with glossy photo cover, Everyday Semi-Gloss paper (cheapest paper option), blank photo book",https://www.mixbook.com/photo-book-pricing
Mixbook,https://www.mixbook.com,14x11",4200x3300,$84.99,20,$2.99,"Hardcover with glossy photo cover, Everyday Semi-Gloss paper (cheapest paper option), blank photo book",https://www.mixbook.com/photo-book-pricing
